instruction,category,intent,response
"I want to cancel my order 12345","ORDER","cancel_order","I can help with that. I've started the cancellation for order 12345 and you'll get a confirmation email shortly."
"please cancel the purchase i just made","ORDER","cancel_order","Sure - I can cancel your recent purchase. Could you confirm the order number so I cancel the right one?"
"how do I stop an order from shipping","ORDER","cancel_order","If the order hasn't shipped yet I can cancel it for you. Let me check the status and stop it right away."
"where is my package","ORDER","track_order","Happy to help you track it. Your package is on the way - I'll share the latest tracking status now."
"can I get a tracking number for my order","ORDER","track_order","Of course - here is your tracking number and a link so you can follow the delivery in real time."
"my order hasnt arrived yet","ORDER","track_order","I'm sorry for the wait. Let me check the tracking and give you an updated delivery estimate."
"I want my money back for this item","REFUND","get_refund","I understand. I can start a refund for that item now - it usually takes 3-5 business days to appear."
"how do I request a refund","REFUND","get_refund","You can request a refund right here. Tell me the order number and I'll begin the refund for you."
"this product is broken i need a refund","REFUND","get_refund","I'm sorry it arrived damaged. I've initiated a full refund and you don't need to return the broken item."
"my card was declined","PAYMENT","payment_issue","Sorry about that. Let's fix the payment - please double-check the card details, and I can suggest another method."
"I was charged twice","PAYMENT","payment_issue","I apologize for the double charge. I've flagged it and will reverse the duplicate charge for you."
"the payment page keeps failing","PAYMENT","payment_issue","Let's get that working. Try another browser - if it still fails I can take the details securely another way."
"I need to change my delivery address","SHIPPING","change_shipping_address","No problem - I can update the shipping address as long as the order hasn't shipped. What's the new address?"
"can you update where my order is being sent","SHIPPING","change_shipping_address","Sure, I can change the destination. Please share the correct address and I'll update it."
"wrong address on my order","SHIPPING","change_shipping_address","Let's correct that. Give me the right address and I'll update the order before it ships."
"how do I sign up","ACCOUNT","create_account","Welcome! You can create an account with your email and a password on the sign-up page - I can walk you through it."
"I want to make an account","ACCOUNT","create_account","Great - creating an account takes a minute. Head to Sign Up, enter your email, and set a password."
"register a new account for me","ACCOUNT","create_account","I can guide you through registration. For security you'll set your own password on the sign-up page."
"I forgot my password","ACCOUNT","reset_password","No worries - click 'Forgot password' and I'll send a secure reset link to your email."
"how do I reset my password","ACCOUNT","reset_password","You can reset it from the login page via 'Forgot password'. I'll email you a reset link right now."
"cant log into my account","ACCOUNT","reset_password","Let's get you back in. I'll send a password reset link so you can set a new password."
"I want to talk to a real person","CONTACT","contact_human_agent","Of course - I'll connect you with a human support agent right away. Please hold for a moment."
"can I speak to a human","CONTACT","contact_human_agent","Absolutely, I'll transfer you to a live agent now."
"get me a support representative","CONTACT","contact_human_agent","Connecting you to a support representative - they'll be with you shortly."
